Pair Rank,Pair,Type,Entry Date,Exit Date,Trade Return
#1,ETR vs NI,Short Spread,2023-02-16,2023-02-23,4.72%
#1,ETR vs NI,Long Spread,2023-02-23,2023-03-16,-1.41%
#1,ETR vs NI,Long Spread,2023-04-20,2023-05-11,-0.51%
#1,ETR vs NI,Long Spread,2023-05-19,2023-06-02,1.15%
#1,ETR vs NI,Long Spread,2023-06-28,2023-07-14,1.26%
#1,ETR vs NI,Short Spread,2023-07-20,2023-08-01,1.45%
#1,ETR vs NI,Short Spread,2023-09-27,2023-10-09,0.33%
#1,ETR vs NI,Short Spread,2023-11-06,2023-11-17,0.91%
#1,ETR vs NI,Short Spread,2023-11-30,2023-12-04,3.12%
#1,ETR vs NI,Short Spread,2024-01-16,2024-01-22,1.90%
#1,ETR vs NI,Short Spread,2024-02-06,2024-02-12,1.43%
#1,ETR vs NI,Short Spread,2024-04-19,2024-04-25,1.16%
#1,ETR vs NI,Short Spread,2024-05-10,2024-05-28,1.28%
#1,ETR vs NI,Long Spread,2024-06-10,2024-07-26,-4.66%
#1,ETR vs NI,Short Spread,2024-08-01,2024-08-12,2.13%
#1,ETR vs NI,Short Spread,2024-09-13,2024-10-16,-2.53%
#1,ETR vs NI,Short Spread,2024-10-22,2024-11-15,-6.19%
#1,ETR vs NI,Short Spread,2025-01-03,2025-01-28,-1.18%
#1,ETR vs NI,Long Spread,2025-02-13,2025-02-20,2.32%
#1,ETR vs NI,Long Spread,2025-05-07,2025-05-12,1.85%
#1,ETR vs NI,Long Spread,2025-05-19,2025-05-21,2.20%
#1,ETR vs NI,Long Spread,2025-06-10,2025-07-02,-0.63%
#1,ETR vs NI,Short Spread,2025-07-17,2025-08-01,0.50%
#1,ETR vs NI,Short Spread,2025-08-06,2025-08-18,1.75%
#1,ETR vs NI,Short Spread,2025-09-04,2025-09-22,2.47%
#1,ETR vs NI,Short Spread,2025-10-30,2025-11-04,2.23%
#1,ETR vs NI,Short Spread,2025-12-03,2025-12-12,0.90%
#2,BK vs GS,Short Spread,2023-02-28,2023-03-09,3.74%
#2,BK vs GS,Long Spread,2023-04-17,2023-05-08,-1.45%
#2,BK vs GS,Short Spread,2023-06-01,2023-06-12,1.20%
#2,BK vs GS,Long Spread,2023-07-20,2023-08-03,0.11%
#2,BK vs GS,Long Spread,2023-09-14,2023-10-02,-0.67%
#2,BK vs GS,Short Spread,2023-10-17,2023-11-03,0.77%
#2,BK vs GS,Long Spread,2023-12-14,2024-01-04,0.87%
#2,BK vs GS,Short Spread,2024-01-12,2024-02-02,0.49%
#2,BK vs GS,Long Spread,2024-02-28,2024-02-29,1.86%
#2,BK vs GS,Long Spread,2024-03-04,2024-03-06,1.21%
#2,BK vs GS,Long Spread,2024-03-13,2024-03-18,1.44%
#2,BK vs GS,Long Spread,2024-03-21,2024-04-04,0.90%
#2,BK vs GS,Long Spread,2024-04-17,2024-05-24,-4.46%
#2,BK vs GS,Short Spread,2024-06-07,2024-06-14,1.96%
#2,BK vs GS,Short Spread,2024-07-12,2024-07-16,4.24%
#2,BK vs GS,Short Spread,2024-09-03,2024-09-26,-3.12%
#2,BK vs GS,Long Spread,2024-11-06,2024-11-25,2.56%
